0.123637	0.123637	A
0.263758	0.263758	veces
0.626426	0.626426	se
0.725335	0.725335	llevan
1.022063	1.022063	a
1.285822	1.285822	las
1.582550	1.582550	personas
2.184249	2.184249	que
2.365582	2.365582	se
2.678795	2.678795	encuentran
3.090918	3.090918	realmente
3.733829	3.733829	lastimadas
4.722922	4.722922	o
4.780620	4.780620	enfermas
5.827410	5.827410	a
5.893350	5.893350	sus
6.223048	6.223048	hogares
6.643413	6.643413	subterráneos
8.011659	8.011659	y
8.085841	8.085841	las
8.432024	8.432024	cuidan
8.704025	8.704025	hasta
9.050207	9.050207	que
9.157359	9.157359	se
9.371663	9.371663	mejoran
