speaker = narrator
0.075653	0.075653	Thomas
0.498421	0.498421	feels
0.836636	0.836636	bad
1.410711	1.410711	but
1.588718	1.588718	Lily
1.926933	1.926933	needs
2.260697	2.260697	to
2.394203	2.394203	learn
2.687916	2.687916	that
2.839222	2.839222	you
3.003879	3.003879	can't
3.324293	3.324293	tell
3.644707	3.644707	fibs
4.548096	4.548096	because
4.899661	4.899661	even
5.180023	5.180023	small
5.544939	5.544939	ones
6.030010	6.030010	can
6.230268	6.230268	cause
6.608534	6.608534	big
6.844395	6.844395	trouble
